timestamp_utc,imb_eur_per_mwh,bal_up_eur_per_mwh,bal_down_eur_per_mwh
2023-01-01 00:00:00+00:00,1.38,1.38,1.38
2023-01-01 01:00:00+00:00,-6.0,0.09,-6.0
2023-01-01 02:00:00+00:00,-6.0,0.08,-6.0
2023-01-01 03:00:00+00:00,-6.0,0.05,-6.0
2023-01-01 04:00:00+00:00,-0.4,0.0,-0.4
2023-01-01 05:00:00+00:00,-2.5,-0.38,-2.5
2023-01-01 06:00:00+00:00,-5.0,0.0,-5.0
2023-01-01 07:00:00+00:00,-5.0,0.0,-5.0
2023-01-01 08:00:00+00:00,-7.0,0.04,-7.0
2023-01-01 09:00:00+00:00,-7.0,0.8,-7.0
2023-01-01 10:00:00+00:00,-7.0,0.08,-7.0
2023-01-01 11:00:00+00:00,-5.0,0.04,-5.0
2023-01-01 12:00:00+00:00,-5.0,0.0,-5.0
2023-01-01 13:00:00+00:00,0.45,0.85,0.45
2023-01-01 14:00:00+00:00,9.51,23.53,9.51
2023-01-01 15:00:00+00:00,132.2,132.2,36.54
2023-01-01 16:00:00+00:00,150.0,150.0,46.03
2023-01-01 17:00:00+00:00,150.0,150.0,55.57
2023-01-01 18:00:00+00:00,100.0,100.0,31.0
2023-01-01 19:00:00+00:00,29.0,49.23,29.0
2023-01-01 20:00:00+00:00,44.99,44.99,44.99
2023-01-01 21:00:00+00:00,45.96,45.96,45.96
2023-01-01 22:00:00+00:00,35.0,35.0,35.0
2023-01-01 23:00:00+00:00,57.91,57.91,57.91
2023-01-02 00:00:00+00:00,76.43,76.43,51.67
2023-01-02 01:00:00+00:00,85.63,85.63,52.93
2023-01-02 02:00:00+00:00,32.27,44.16,32.27
2023-01-02 03:00:00+00:00,50.08,50.08,50.08
2023-01-02 04:00:00+00:00,77.09,77.09,77.09
2023-01-02 05:00:00+00:00,43.0,105.08,43.0
2023-01-02 06:00:00+00:00,140.64,140.64,77.0
2023-01-02 07:00:00+00:00,145.98,145.98,145.98
2023-01-02 08:00:00+00:00,125.0,147.05,125.0
